date,time,date_time,roadway,intersection,report_number
6/12/18,800,6/12/18 8:00,CONCORD AV,,2018005675
6/12/18,1709,6/12/18 17:09,ARDSLEY RD,,2018005686
6/13/18,845,6/13/18 8:45,GREENVILLE RD,HIGHLAND RD,2018005704
6/13/18,1205,6/13/18 12:05,JACKSON AV,,2018005708
6/13/18,1744,6/13/18 17:44,BENEDICT AV,WHITE PLAINS RD,2018005725
6/14/18,1136,6/14/18 11:36,DOBBS FERRY RD,TARRYTOWN RD,2018005740
6/15/18,2010,6/15/18 20:10,DRISLER AV,,2018005795
6/16/18,1400,6/16/18 14:00,ARDSLEY RD,,2018005811
6/16/18,2105,6/16/18 21:05,TARRYTOWN RD,,2018005826
6/16/18,1550,6/16/18 15:50,KNOLLWOOD RD,,2018005847
6/18/18,733,6/18/18 7:33,KNOLLWOOD RD,,2018005869
6/18/18,1730,6/18/18 17:30,E HARTSDALE AV,,2018005899
6/20/18,1250,6/20/18 12:50,S CENTRAL AV,,2018005956
6/20/18,0,6/20/18 0:00,PIPELINE RD,STATION DR,2018005963
6/21/18,704,6/21/18 7:04,DOBBS FERRY RD,,2018005975
6/21/18,1510,6/21/18 15:10,JACKSON AV,EDITHS WAY,2018005993
6/21/18,1725,6/21/18 17:25,KNOLLWOOD RD,I-287,2018005997
6/23/18,1043,6/23/18 10:43,JACKSON AV,,2018006053
6/23/18,1540,6/23/18 15:40,CENTRAL AV,,2018006063
6/23/18,1820,6/23/18 18:20,S CENTRAL AV,,2018006068
6/25/18,905,6/25/18 9:05,WHITE PLAINS RD,DUNNINGS DR,2018006117
